,subjects,AV,CL,CM,CeM,L-Sg,LD,LGN,LP,MDl,MDm,MGN,MV(Re),Pc,Pf,Pt,PuA,PuI,PuL,PuM,VA,VAmc,VLa,VLp,VM,VPL,Whole_thalamus
273,S09_DtQm_MRT,143.559735,38.261549,294.380955,77.475668,18.554883,34.364433,218.337848,162.741442,327.758484,872.039866,128.761145,14.692733,4.984546,63.324702,7.625505,244.912198,222.415381,164.715633,1188.184104,417.697189,34.543347,712.525378,893.342002,32.616682,921.699311,7239.514719
274,S10_SdKe_MRT,155.104124,33.216598,296.906231,64.31767,28.930348,24.286173,270.344121,145.129349,276.919684,722.890396,80.62862,9.71342,4.301583,79.355905,8.064202,299.953925,347.06446,314.672267,1398.430957,428.445649,36.995832,765.775912,1051.272709,30.932082,1146.448243,8020.100463
275,S11_DgMW_MRT,150.30062,39.50906,254.941392,67.952531,38.25654,29.955749,287.434073,131.705249,246.751352,653.514506,123.253035,14.602153,4.200694,70.198568,7.824432,235.573842,319.886521,238.509977,1222.136612,470.115038,34.584091,730.494278,928.327783,27.617744,1027.247974,7354.893814
276,S12_usaf_MRT,147.24308,36.407076,299.341901,68.424474,36.649063,33.183005,270.924268,120.852995,248.169673,611.892023,114.063409,12.670811,4.43707,73.294656,7.853542,253.260006,284.205608,230.475437,1224.376837,470.184657,34.209522,720.622406,900.56231,26.950656,1025.912528,7256.167012
277,S14_QEDA_MRT,126.054528,31.364246,261.598709,54.15314,23.485866,21.686589,247.752369,121.249643,247.201942,726.534668,83.96805,10.750484,4.671145,61.800622,8.246752,230.696183,333.574134,212.585615,1318.006094,397.853674,31.410977,637.0596,818.462406,24.917905,907.910611,6942.995951
278,S15_KtMJ_MRT,155.550439,38.045817,316.223186,85.272259,20.67043,31.946946,358.446448,121.489496,280.735519,844.278378,85.066499,14.098528,6.037154,74.075649,8.86923,295.236872,418.774449,238.653449,1582.187549,512.799083,43.45816,816.718385,1035.238041,34.18451,1166.910243,8584.966716
279,S16_hwEa_MRT,140.006498,33.129067,227.756926,57.237272,24.997978,22.078161,242.382397,105.77656,256.472646,584.331157,136.005932,11.457591,3.232452,63.256529,6.684785,216.035285,235.084157,236.239273,1068.512098,376.82355,28.744146,598.181565,771.623533,20.987011,874.676898,6341.713468
280,S17_oszB_MRT,168.326343,39.448388,254.450477,75.363424,18.81397,38.311648,229.788397,138.40761,265.094112,716.465635,126.585964,14.607015,4.107259,61.583438,7.594055,245.445336,252.352312,242.724279,1179.491112,384.065625,32.948844,637.272728,842.844059,25.855451,946.314338,6948.26182
281,S18_tWKF_MRT,127.861517,33.846843,246.20219,61.704107,23.849311,31.058709,287.673962,112.224125,257.887575,702.033898,91.878456,10.78875,4.05345,65.636721,6.735456,241.922765,239.845268,192.267924,1238.945775,343.643324,29.628368,611.770064,806.798583,23.196475,834.525891,6625.979507
282,S19_QcZZ_MRT,145.032929,36.516196,192.469923,46.549382,29.545333,21.546725,232.995897,128.747198,208.402008,447.870632,127.824559,8.592496,2.491987,55.056876,6.404023,212.71664,272.137085,220.448886,1120.374718,314.336444,22.59287,480.599634,647.09884,18.352598,812.532143,5811.236023
283,S20_NBUG_MRT,162.895916,39.044215,286.801049,67.271096,19.729,23.746733,329.724174,122.559277,256.43205,719.333606,130.204582,9.906222,4.851896,73.711477,8.443923,257.055329,308.424739,258.86821,1355.849289,455.943631,34.635782,706.710977,948.92706,26.651045,1082.262633,7689.983909
284,S21_TIOs_MRT,158.004622,38.159493,267.035948,72.401591,32.886952,25.307322,287.973255,143.322822,240.932977,612.685878,105.960744,14.009854,4.025505,58.980465,7.873627,238.640204,303.228437,250.973196,1275.449788,431.897862,32.762409,656.908501,869.216005,28.340627,1016.150097,7173.12818
285,S22_CgTN_MRT,152.392618,41.894543,308.671994,63.241041,31.844024,45.646624,239.455436,164.817168,283.071849,776.577827,106.17154,10.171597,4.32952,77.918736,8.512064,268.320151,299.07414,228.978696,1301.174609,374.131218,31.826139,692.772438,952.867836,38.455785,1147.26251,7649.580106
286,S23_UBrH_MRT,125.064849,29.140291,206.357094,64.811021,16.391636,26.420079,244.015618,108.338888,258.842409,701.550057,94.777102,11.562526,4.240724,57.579438,6.232099,245.014734,247.756857,204.603286,1258.374556,371.283551,30.049838,550.099075,703.51029,19.211034,732.357666,6317.584718
287,S24_KQPg_MRT,107.683064,38.533103,211.522654,47.556306,28.751228,33.099956,220.566573,119.653637,209.810594,606.222494,101.962959,8.894612,3.504793,57.754908,6.245396,176.41906,230.193034,151.569575,972.090913,323.881418,25.16516,508.797381,650.207073,18.43863,752.892308,5611.416829
288,S25_AsHi_MRT,125.163443,39.925982,273.23163,55.687839,24.920331,29.996387,281.142859,150.946956,225.629345,628.348281,110.555774,9.275803,4.324197,67.104164,7.706519,210.286645,258.8664,192.440871,1179.455106,376.456214,30.610815,630.798445,860.003416,27.90577,982.34469,6783.127882
289,S26_OylY_MRT,133.004185,29.514603,215.638455,55.924905,19.891251,14.626209,258.209108,107.88537,190.447566,500.327861,94.680764,11.802062,3.045359,55.956382,6.687394,205.754986,262.695962,208.029742,1084.817071,342.785355,25.76598,533.425399,717.165923,24.173445,882.25186,5984.507197
290,S26_hOUz_MRT,165.679541,37.747206,229.91478,62.092353,20.711656,36.728136,272.330341,122.079393,261.882696,706.145811,103.40428,10.123425,4.175235,56.277407,7.480426,245.025872,278.78813,224.258106,1236.22921,393.995174,29.105816,620.910834,816.135903,25.687722,1004.479757,6971.38921
291,S27_xBrB_MRT,129.611433,26.327802,259.114338,61.525771,28.427548,21.34238,224.88912,117.798253,267.330873,689.186553,99.876944,13.206958,3.532198,71.434613,7.199517,235.756256,270.176015,210.032033,1236.343887,382.630097,29.912505,594.963315,803.860094,24.783675,964.026129,6773.288306
292,S29_QEqJ_MRT,192.778109,44.142517,271.537022,87.843818,18.159585,46.765541,312.390742,164.73854,324.493425,825.284371,123.541985,14.808497,5.452157,74.781601,8.373775,262.31252,274.389498,249.856285,1307.164052,503.261191,41.04093,807.944429,1046.808986,33.276909,1099.257105,8140.403592
293,S30_bxux_MRT,149.347927,37.467372,227.641547,51.376612,23.717138,15.235916,238.52307,143.896952,236.369673,575.976293,137.982776,8.351631,3.266333,59.829215,7.154608,217.497686,242.60366,258.60164,1183.421038,409.064858,28.223798,649.176225,851.001734,24.98155,1005.711133,6786.420386
294,S31_wAZi_MRT,129.97949,38.657313,227.950019,77.450101,13.635372,25.551553,247.381174,106.846664,223.439672,718.309577,99.729648,13.221704,4.644219,56.441159,6.33139,186.351055,211.14156,139.860222,994.031474,380.784373,35.476818,582.276535,743.496395,19.639712,768.389494,6051.016691
295,S32_ijpf_MRT,102.76915,22.51125,225.412209,48.950731,21.372112,19.055573,271.235037,92.128712,255.62842,679.37525,125.591598,9.483804,3.427564,53.73369,6.739424,231.254698,239.718744,206.190208,1150.221231,345.11273,26.767243,567.123585,741.178178,22.052014,895.005606,6362.038758
296,S33_uvsm_MRT,144.694438,34.214654,250.474304,67.231376,18.667571,25.372759,296.655022,118.002405,252.180507,735.938945,158.366922,14.418837,4.350517,62.610725,8.180375,254.894095,301.184251,197.346998,1391.319789,368.588548,31.172456,615.245226,815.881783,28.479339,1098.224823,7293.696664
297,S34_ATkC_MRT,150.040759,33.411601,262.775282,61.137268,35.217638,18.722639,182.974836,125.23377,271.754509,687.010851,118.305509,11.013619,3.958452,73.947992,7.211681,240.143965,255.934188,220.330152,1268.68714,390.969375,30.330167,641.801722,833.904133,27.244188,957.404953,6909.466388
298,S35_Cizz_MRT,162.512476,45.631287,251.546328,73.083722,29.991915,40.105161,258.952907,130.199338,275.870703,723.702541,124.24406,12.598323,4.381758,68.318036,8.098232,243.165433,304.984712,234.621756,1296.882422,422.497143,34.434333,619.35416,761.654488,25.802903,883.427731,7036.061868
299,S36_aTXH_MRT,126.497578,35.093217,229.338447,75.346559,17.737503,25.950637,255.624306,136.02623,245.702567,734.910899,105.763233,14.85424,3.995031,54.94412,6.765414,227.788256,302.177441,197.333366,1345.512646,366.350217,31.35075,585.537753,759.486452,21.836259,774.643317,6680.566438
300,S37_Otcl_MRT_2,156.381054,41.501667,259.012407,67.081231,14.595838,37.764586,295.041255,139.662358,288.860698,741.1724,123.064439,13.180373,4.436358,69.626862,7.556502,283.971786,322.000988,259.348102,1407.174224,406.315957,31.788764,654.474996,856.94917,27.861505,998.042327,7506.865848
301,kGzT_MRT,132.120653,38.514036,248.612764,67.48348,16.856638,26.697919,262.415293,108.326303,276.97178,770.39469,108.674222,14.504503,3.843788,66.832801,6.770035,240.740049,268.125973,196.264204,1182.858394,372.477333,34.410908,575.788546,721.688935,21.684415,827.742294,6590.799958
302,krZG_MRT,176.853956,44.425326,263.914172,91.590257,34.547854,33.016411,385.263834,151.177136,279.824218,724.944764,166.651164,20.95436,4.688989,75.69942,8.654341,265.171807,356.803611,200.932843,1467.7122,447.683553,34.715005,628.741636,851.160245,33.106874,1068.590015,7816.823991
303,tOBP_MRT,168.377363,43.562655,245.473281,65.031327,20.813661,42.318502,252.991903,136.174609,246.048476,716.032029,113.386555,13.052998,4.22599,74.829814,6.869366,254.796515,253.588409,230.909304,1208.970058,384.773127,30.038264,628.26157,831.758835,27.468742,941.96223,6941.715583
